temperature,dewpoint_temperature,wind_speed,mean_sea_level_pressure,relative_humidity,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover
1.1331228,0.3295422,0.16365804,33.883324,-0.039195497,230.31886,1.012559,0.025058167
2.2205088,0.3146522,0.34702802,30.619167,-0.083645664,340.14502,4.1861086,0.020538121
2.9545522,0.21176858,0.4336381,2.2720118,-0.11259906,399.78122,7.2239976,0.026137816
3.6106153,0.23123938,0.519582,-23.79978,-0.13694285,411.5384,9.812225,0.032812983
3.8244057,0.1727445,0.60516214,-48.941635,-0.1462321,378.01047,11.4526205,0.028750071
3.611309,0.088641286,0.5126922,-77.72776,-0.14141473,297.72867,12.00637,0.028469095
3.180684,-0.056171436,0.49553993,-72.76936,-0.12506089,189.07718,11.4879265,0.011786676
2.450927,0.026702482,0.35162228,-56.266376,-0.099096276,55.895382,9.873503,-0.0057304436
2.0770257,0.12303387,0.24331196,-44.518993,-0.0832758,-66.686905,6.3695016,-0.0271917
1.584024,0.10866987,0.12777646,-12.810356,-0.05831322,-146.21208,2.299127,-0.041491996
0.029537732,0.24234617,-0.08729277,29.013287,0.0014881024,-182.49124,-0.8050976,-0.02441932
-0.80971646,0.26020148,-0.1553775,50.61779,0.033627238,-185.24063,-3.1823936,-0.025337044
-1.246288,0.14402615,-0.2479455,49.528095,0.051352493,-184.7857,-4.75376,-0.03525471
-1.8282133,0.019687176,-0.29492822,29.776794,0.072580494,-186.43692,-5.9708796,-0.03325591
-1.8345041,0.050662786,-0.41551733,16.573181,0.07434566,-185.49883,-7.128622,-0.03366033
-2.4027681,-0.14763728,-0.46940026,14.611284,0.09472279,-185.26796,-7.874411,-0.030529652
-2.5966222,-0.31245244,-0.41618952,-9.415198,0.09853195,-185.75143,-7.7424307,-0.022605082
-2.687491,-0.25474894,-0.44410753,-37.908386,0.09972907,-185.71992,-7.9590993,-0.008364493
-3.1678965,-0.53233236,-0.36975655,-33.517597,0.113707334,-184.46423,-7.7810597,0.0031488389
-2.9507027,-0.4919337,-0.38495257,-1.4509863,0.10590788,-186.435,-5.9113927,0.010317311
-3.1338913,-0.47380003,-0.310038,12.648287,0.11400808,-174.8564,-5.7011037,0.01829459
-2.6879034,-0.45352304,-0.17291047,27.032774,0.09783184,-128.03416,-5.762943,0.028674752
-1.2201258,0.10063197,-0.09457056,65.24459,0.05292976,-32.652954,-3.6345315,0.02995499
-0.11058914,0.298049,0.062975734,57.305832,0.015013427,98.03924,-1.5162127,0.023897272
1.1331228,0.3295422,0.16365804,33.883324,-0.039195497,230.31886,1.012559,0.025058167
