temperature,dewpoint_temperature,wind_speed,mean_sea_level_pressure,relative_humidity,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover,time_stamp
5.1780987,2.899857,-0.08483773,-310.6982,-0.08003744,119.756195,20.393627,-0.06690013,2010-01-01
5.8202395,3.8619397,-0.22660215,-304.9196,-0.058062103,100.03155,26.08467,-0.10128222,2010-02-01
4.8967047,3.4217885,-0.19121112,-11.775767,-0.05684712,52.491264,22.844568,-0.0713273,2010-03-01
1.600255,1.6725429,-0.48776504,144.78879,-0.019482486,-18.006807,11.32679,-0.0056750863,2010-04-01
-1.1554579,-0.35800624,0.061505076,342.18338,0.02269246,-73.30431,-3.271023,0.05937402,2010-05-01
-3.69258,-1.605037,-0.19354196,172.30856,0.08578501,-105.66638,-11.503967,0.07498826,2010-06-01
-5.3361335,-3.2597358,0.20246881,128.79958,0.086248584,-108.171326,-23.00795,0.04704453,2010-07-01
-4.7025714,-3.417229,0.8144162,-68.4803,0.051789284,-89.23766,-22.179737,0.03726834,2010-08-01
-3.792914,-3.0134783,0.09609256,186.19499,0.02936937,-44.869934,-19.684021,0.019457929,2010-09-01
-1.6780497,-1.7427847,0.23553304,-22.572968,-0.008989386,13.933382,-12.439033,-0.020536087,2010-10-01
0.0751282,-0.26978984,-0.016891563,51.56708,-0.028731124,62.643196,-0.7382704,0.015059504,2010-11-01
2.9916902,2.0576963,-0.26138854,-306.42975,-0.024366593,94.044395,13.694009,0.007903066,2010-12-01
5.1664143,2.8934684,-0.08606903,-311.0429,-0.07974075,119.70658,20.333662,-0.0662273,2011-01-01
